result_id,race_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,time,milliseconds,fastest_lap,rank,fastest_lap_time,fastest_lap_speed,status_id,position_numeric,finished
61,20,11,8,18.0,22,17.0,17,17,0.0,56,,,56.0,20.0,1:35.891,203.18,11,17.0,1
62,20,14,9,9.0,17,18.0,18,18,0.0,56,,,43.0,16.0,1:35.351,204.331,11,18.0,1
63,20,16,10,20.0,20,19.0,19,19,0.0,56,,,55.0,18.0,1:35.442,204.136,12,19.0,1
64,20,12,4,6.0,14,,R,20,0.0,40,,,31.0,12.0,1:35.129,204.808,6,,0
65,20,18,11,16.0,9,,R,21,0.0,19,,,11.0,21.0,1:36.125,202.686,4,,0
66,20,20,5,15.0,19,,R,22,0.0,0,,,,,,,5,,0
67,21,8,6,1.0,1,1.0,1,1,10.0,66,1:38:19.051,5899051.0,46.0,1.0,1:21.670,205.191,1,1.0,1
68,21,13,6,2.0,3,2.0,2,2,8.0,66,+3.228,5902279.0,45.0,2.0,1:21.801,204.863,1,2.0,1
69,21,1,1,22.0,5,3.0,3,3,6.0,66,+4.187,5903238.0,20.0,3.0,1:22.017,204.323,1,3.0,1
70,21,9,2,4.0,4,4.0,4,4,5.0,66,+5.694,5904745.0,20.0,4.0,1:22.106,204.102,1,4.0,1
71,21,17,9,10.0,7,5.0,5,5,4.0,66,+35.938,5934989.0,19.0,8.0,1:22.564,202.969,1,5.0,1
72,21,18,11,16.0,13,6.0,6,6,3.0,66,+53.010,5952061.0,66.0,5.0,1:22.353,203.489,1,6.0,1
73,21,6,3,8.0,12,7.0,7,7,2.0,66,+58.244,5957295.0,48.0,15.0,1:23.549,200.576,1,7.0,1
74,21,15,7,11.0,8,8.0,8,8,1.0,66,+59.435,5958486.0,45.0,10.0,1:22.758,202.494,1,8.0,1
75,21,2,2,3.0,9,9.0,9,9,0.0,66,+1:03.073,5962124.0,21.0,7.0,1:22.519,203.08,1,9.0,1
76,21,21,10,21.0,19,10.0,10,10,0.0,65,,,40.0,14.0,1:23.439,200.841,11,10.0,1
77,21,10,7,12.0,14,11.0,11,11,0.0,65,,,57.0,12.0,1:23.007,201.886,11,11.0,1
78,21,14,9,9.0,17,12.0,12,12,0.0,65,,,57.0,11.0,1:22.842,202.288,11,12.0,1
79,21,11,8,18.0,22,13.0,13,13,0.0,65,,,34.0,17.0,1:24.617,198.045,11,13.0,1
80,21,3,3,7.0,15,,R,14,0.0,41,,,20.0,13.0,1:23.319,201.13,5,,0
81,21,4,4,5.0,2,,R,15,0.0,34,,,15.0,9.0,1:22.683,202.677,5,,0
82,21,22,11,17.0,11,,R,16,0.0,34,,,21.0,16.0,1:23.858,199.837,4,,0
83,21,5,1,23.0,6,,R,17,0.0,21,,,19.0,6.0,1:22.453,203.243,3,,0
84,21,19,8,19.0,21,,R,18,0.0,8,,,6.0,20.0,1:26.864,192.922,21,,0
85,21,7,5,14.0,16,,R,19,0.0,7,,,6.0,19.0,1:25.999,194.862,4,,0
86,21,12,4,6.0,10,,R,20,0.0,6,,,6.0,18.0,1:25.444,196.128,4,,0
87,21,16,10,20.0,20,,R,21,0.0,0,,,,,,,4,,0
88,21,20,5,15.0,18,,R,22,0.0,0,,,,,,,4,,0
89,22,13,6,2.0,1,1.0,1,1,10.0,58,1:26:49.451,5209451.0,16.0,3.0,1:26.666,221.734,1,1.0,1
90,22,1,1,22.0,3,2.0,2,2,8.0,58,+3.779,5213230.0,31.0,2.0,1:26.529,222.085,1,2.0,1
91,22,8,6,1.0,4,3.0,3,3,6.0,58,+4.271,5213722.0,20.0,1.0,1:26.506,222.144,1,3.0,1
92,22,9,2,4.0,5,4.0,4,4,5.0,58,+21.945,5231396.0,17.0,4.0,1:26.780,221.442,1,4.0,1
93,22,2,2,3.0,9,5.0,5,5,4.0,58,+38.741,5248192.0,20.0,5.0,1:27.219,220.328,1,5.0,1
94,22,4,4,5.0,7,6.0,6,6,3.0,58,+53.724,5263175.0,57.0,6.0,1:27.280,220.174,1,6.0,1
95,22,17,9,10.0,6,7.0,7,7,2.0,58,+1:04.229,5273680.0,14.0,7.0,1:27.630,219.294,1,7.0,1
96,22,3,3,7.0,11,8.0,8,8,1.0,58,+1:11.406,5280857.0,55.0,9.0,1:27.795,218.882,1,8.0,1
97,22,14,9,9.0,10,9.0,9,9,0.0,58,+1:15.270,5284721.0,41.0,12.0,1:27.966,218.457,1,9.0,1
98,22,15,7,11.0,8,10.0,10,10,0.0,58,+1:16.344,5285795.0,52.0,11.0,1:27.926,218.556,1,10.0,1
99,22,18,11,16.0,13,11.0,11,11,0.0,57,,,57.0,13.0,1:27.998,218.377,11,11.0,1
100,22,5,1,23.0,2,12.0,12,12,0.0,57,,,55.0,8.0,1:27.640,219.269,11,12.0,1
101,22,10,7,12.0,15,13.0,13,13,0.0,57,,,28.0,16.0,1:28.303,217.623,11,13.0,1
102,22,22,11,17.0,12,14.0,14,14,0.0,57,,,56.0,14.0,1:28.017,218.33,11,14.0,1
103,22,12,4,6.0,17,15.0,15,15,0.0,57,,,40.0,10.0,1:27.867,218.703,11,15.0,1
104,22,16,10,20.0,19,16.0,16,16,0.0,57,,,35.0,18.0,1:28.780,216.454,11,16.0,1
105,22,20,5,15.0,14,17.0,17,17,0.0,57,,,38.0,15.0,1:28.180,217.926,11,17.0,1
106,22,7,5,14.0,18,,R,18,0.0,24,,,19.0,17.0,1:28.745,216.539,22,,0
107,22,6,3,8.0,16,,R,19,0.0,1,,,,,,,4,,0
108,22,21,10,21.0,20,,R,20,0.0,0,,,,,,,4,,0
109,23,1,1,22.0,3,1.0,1,1,10.0,76,2:00:42.742,7242742.0,71.0,6.0,1:18.510,153.152,1,1.0,1
110,23,9,2,4.0,5,2.0,2,2,8.0,76,+3.064,7245806.0,75.0,5.0,1:17.933,154.286,1,2.0,1
111,23,13,6,2.0,1,3.0,3,3,6.0,76,+4.811,7247553.0,76.0,4.0,1:17.886,154.379,1,3.0,1
112,23,17,9,10.0,9,4.0,4,4,5.0,76,+19.295,7262037.0,74.0,8.0,1:19.036,152.133,1,4.0,1
113,23,20,5,15.0,19,5.0,5,5,4.0,76,+24.657,7267399.0,74.0,7.0,1:18.787,152.614,1,5.0,1
114,23,22,11,17.0,14,6.0,6,6,3.0,76,+28.408,7271150.0,75.0,9.0,1:19.574,151.104,1,6.0,1
115,23,6,3,8.0,13,7.0,7,7,2.0,76,+30.180,7272922.0,75.0,13.0,1:19.910,150.469,1,7.0,1
116,23,5,1,23.0,4,8.0,8,8,1.0,76,+33.191,7275933.0,74.0,2.0,1:17.282,155.586,1,8.0,1
117,23,8,6,1.0,2,9.0,9,9,0.0,76,+33.792,7276534.0,74.0,1.0,1:16.689,156.789,1,9.0,1
118,23,4,4,5.0,7,10.0,10,10,0.0,75,,,73.0,3.0,1:17.869,154.413,11,10.0,1
119,23,18,11,16.0,11,11.0,11,11,0.0,75,,,74.0,10.0,1:19.582,151.089,11,11.0,1
120,23,10,7,12.0,10,12.0,12,12,0.0,75,,,75.0,11.0,1:19.618,151.021,11,12.0,1
121,23,15,7,11.0,8,13.0,13,13,0.0,75,,,75.0,12.0,1:19.830,150.62,11,13.0,1
122,23,2,2,3.0,12,14.0,14,14,0.0,72,,,72.0,14.0,1:20.251,149.829,14,14.0,1
123,23,16,10,20.0,18,,R,15,0.0,67,,,60.0,16.0,1:22.039,146.564,4,,0
124,23,3,3,7.0,6,,R,16,0.0,59,,,58.0,15.0,1:21.270,147.951,3,,0
125,23,12,4,6.0,17,,R,17,0.0,47,,,40.0,17.0,1:31.187,131.86,3,,0
126,23,21,10,21.0,20,,R,18,0.0,36,,,33.0,18.0,1:32.849,129.5,6,,0
127,23,14,9,9.0,15,,R,19,0.0,7,,,7.0,20.0,1:42.112,117.753,3,,0
128,23,7,5,14.0,16,,R,20,0.0,7,,,7.0,19.0,1:41.150,118.872,4,,0
129,24,9,2,4.0,2,1.0,1,1,10.0,70,1:36:24.227,5784227.0,47.0,4.0,1:17.539,202.473,1,1.0,1
130,24,2,2,3.0,8,2.0,2,2,8.0,70,+16.495,5800722.0,25.0,2.0,1:17.430,202.758,1,2.0,1
131,24,14,9,9.0,13,3.0,3,3,6.0,70,+23.352,5807579.0,36.0,7.0,1:18.085,201.057,1,3.0,1
132,24,10,7,12.0,11,4.0,4,4,5.0,70,+42.627,5826854.0,31.0,17.0,1:19.087,198.51,1,4.0,1
133,24,13,6,2.0,6,5.0,5,5,4.0,70,+43.934,5828161.0,11.0,6.0,1:18.006,201.261,1,5.0,1
134,24,15,7,11.0,14,6.0,6,6,3.0,70,+47.775,5832002.0,38.0,15.0,1:18.870,199.056,1,6.0,1
135,24,22,11,17.0,9,7.0,7,7,2.0,70,+53.597,5837824.0,35.0,10.0,1:18.301,200.503,1,7.0,1
136,24,20,5,15.0,19,8.0,8,8,1.0,70,+54.120,5838347.0,33.0,12.0,1:18.532,199.913,1,8.0,1
137,24,5,1,23.0,7,9.0,9,9,0.0,70,+54.433,5838660.0,62.0,11.0,1:18.462,200.091,1,9.0,1
138,24,3,3,7.0,5,10.0,10,10,0.0,70,+54.749,5838976.0,14.0,5.0,1:17.977,201.336,1,10.0,1
139,24,18,11,16.0,20,11.0,11,11,0.0,70,+1:07.540,5851767.0,58.0,19.0,1:19.352,197.847,1,11.0,1
140,24,17,9,10.0,10,12.0,12,12,0.0,70,+1:11.299,5855526.0,51.0,8.0,1:18.201,200.759,1,12.0,1
141,24,7,5,14.0,18,13.0,13,13,0.0,69,,,34.0,13.0,1:18.620,199.689,11,13.0,1
142,24,21,10,21.0,17,,R,14,0.0,51,,,41.0,16.0,1:19.066,198.563,20,,0
143,24,6,3,8.0,12,,R,15,0.0,46,,,30.0,14.0,1:18.784,199.273,3,,0
144,24,4,4,5.0,4,,R,16,0.0,44,,,16.0,9.0,1:18.225,200.697,20,,0
145,24,12,4,6.0,15,,R,17,0.0,43,,,16.0,18.0,1:19.239,198.129,23,,0
146,24,8,6,1.0,3,,R,18,0.0,19,,,14.0,1.0,1:17.387,202.871,4,,0
147,24,1,1,22.0,1,,R,19,0.0,19,,,4.0,3.0,1:17.506,202.559,4,,0
148,24,16,10,20.0,16,,R,20,0.0,13,,,7.0,20.0,1:20.666,194.624,6,,0
149,25,13,6,2.0,2,1.0,1,1,10.0,70,1:31:50.245,5510245.0,20.0,2.0,1:16.729,206.956,1,1.0,1
150,25,8,6,1.0,1,2.0,2,2,8.0,70,+17.984,5528229.0,16.0,1.0,1:16.630,207.224,1,2.0,1
151,25,15,7,11.0,4,3.0,3,3,6.0,70,+28.250,5538495.0,12.0,7.0,1:17.567,204.721,1,3.0,1
152,25,5,1,23.0,10,4.0,4,4,5.0,70,+28.929,5539174.0,46.0,3.0,1:17.134,205.87,1,4.0,1
153,25,9,2,4.0,5,5.0,5,5,4.0,70,+30.512,5540757.0,16.0,4.0,1:17.172,205.768,1,5.0,1
154,25,17,9,10.0,6,6.0,6,6,3.0,70,+40.304,5550549.0,22.0,6.0,1:17.507,204.879,1,6.0,1
155,25,12,4,6.0,9,7.0,7,7,2.0,70,+41.033,5551278.0,24.0,10.0,1:17.758,204.218,1,7.0,1
156,25,4,4,5.0,3,8.0,8,8,1.0,70,+43.372,5553617.0,39.0,8.0,1:17.641,204.525,1,8.0,1
157,25,14,9,9.0,7,9.0,9,9,0.0,70,+51.021,5561266.0,23.0,12.0,1:17.818,204.06,1,9.0,1
158,25,1,1,22.0,13,10.0,10,10,0.0,70,+54.538,5564783.0,40.0,5.0,1:17.453,205.022,1,10.0,1
159,25,10,7,12.0,8,11.0,11,11,0.0,70,+57.700,5567945.0,45.0,13.0,1:17.836,204.013,1,11.0,1
160,25,20,5,15.0,12,12.0,12,12,0.0,70,+58.065,5568310.0,36.0,11.0,1:17.760,204.212,1,12.0,1
161,25,2,2,3.0,11,13.0,13,13,0.0,70,+1:02.079,5572324.0,46.0,9.0,1:17.716,204.328,1,13.0,1
162,25,22,11,17.0,20,14.0,14,14,0.0,69,,,54.0,14.0,1:17.969,203.665,11,14.0,1
163,25,6,3,8.0,15,15.0,15,15,0.0,69,,,60.0,15.0,1:18.054,203.443,11,15.0,1
164,25,3,3,7.0,19,16.0,16,16,0.0,69,,,38.0,17.0,1:18.311,202.776,11,16.0,1
165,25,7,5,14.0,14,17.0,17,17,0.0,69,,,28.0,16.0,1:18.216,203.022,11,17.0,1
166,25,21,10,21.0,17,18.0,18,18,0.0,69,,,53.0,19.0,1:18.557,202.141,11,18.0,1
167,25,16,10,20.0,18,19.0,19,19,0.0,69,,,41.0,18.0,1:18.462,202.385,11,19.0,1
168,25,18,11,16.0,16,,R,20,0.0,16,,,15.0,20.0,1:20.876,196.345,4,,0
169,26,1,1,22.0,4,1.0,1,1,10.0,60,1:39:09.440,5949440.0,16.0,3.0,1:32.817,199.398,1,1.0,1
170,26,2,2,3.0,5,2.0,2,2,8.0,60,+1:08.577,6018017.0,21.0,2.0,1:32.719,199.609,1,2.0,1
171,26,22,11,17.0,16,3.0,3,3,6.0,60,+1:22.273,6031713.0,21.0,11.0,1:33.386,198.183,1,3.0,1
172,26,8,6,1.0,3,4.0,4,4,5.0,59,,,18.0,1.0,1:32.150,200.842,11,4.0,1
173,26,5,1,23.0,1,5.0,5,5,4.0,59,,,17.0,5.0,1:33.130,198.728,11,5.0,1
174,26,4,4,5.0,6,6.0,6,6,3.0,59,,,17.0,6.0,1:33.133,198.722,11,6.0,1
175,26,15,7,11.0,14,7.0,7,7,2.0,59,,,22.0,13.0,1:33.808,197.292,11,7.0,1
176,26,6,3,8.0,15,8.0,8,8,1.0,59,,,21.0,14.0,1:34.277,196.31,11,8.0,1
177,26,3,3,7.0,20,9.0,9,9,0.0,59,,,21.0,16.0,1:34.797,195.234,11,9.0,1
178,26,17,9,10.0,2,10.0,10,10,0.0,59,,,17.0,4.0,1:32.952,199.109,11,10.0,1
179,26,7,5,14.0,13,11.0,11,11,0.0,59,,,21.0,9.0,1:33.367,198.224,11,11.0,1
180,26,10,7,12.0,12,12.0,12,12,0.0,59,,,19.0,15.0,1:34.610,195.619,11,12.0,1
181,26,13,6,2.0,9,13.0,13,13,0.0,58,,,19.0,8.0,1:33.257,198.458,12,13.0,1
182,26,9,2,4.0,10,,R,14,0.0,39,,,22.0,12.0,1:33.539,197.859,20,,0
183,26,18,11,16.0,17,,R,15,0.0,38,,,21.0,10.0,1:33.376,198.205,20,,0
184,26,12,4,6.0,7,,R,16,0.0,35,,,21.0,7.0,1:33.203,198.573,20,,0
185,26,21,10,21.0,19,,R,17,0.0,16,,,21.0,17.0,1:34.930,194.96,20,,0
186,26,16,10,20.0,18,,R,18,0.0,10,,,5.0,18.0,1:38.160,188.545,20,,0
187,26,20,5,15.0,8,,R,19,0.0,0,,,,,,,4,,0
188,26,14,9,9.0,11,,R,20,0.0,0,,,,,,,4,,0
189,27,1,1,22.0,1,1.0,1,1,10.0,67,1:31:20.874,5480874.0,17.0,2.0,1:16.039,216.552,1,1.0,1
190,27,12,4,6.0,17,2.0,2,2,8.0,67,+5.586,5486460.0,66.0,9.0,1:16.910,214.099,1,2.0,1
191,27,13,6,2.0,2,3.0,3,3,6.0,67,+9.339,5490213.0,19.0,5.0,1:16.502,215.241,1,3.0,1
192,27,2,2,3.0,12,4.0,4,4,5.0,67,+9.825,5490699.0,52.0,1.0,1:15.987,216.7,1,4.0,1
193,27,5,1,23.0,3,5.0,5,5,4.0,67,+12.411,5493285.0,63.0,4.0,1:16.495,215.261,1,5.0,1
194,27,8,6,1.0,6,6.0,6,6,3.0,67,+14.403,5495277.0,66.0,3.0,1:16.342,215.692,1,6.0,1
195,27,9,2,4.0,7,7.0,7,7,2.0,67,+22.682,5503556.0,17.0,6.0,1:16.610,214.937,1,7.0,1
196,27,20,5,15.0,9,8.0,8,8,1.0,67,+33.299,5514173.0,20.0,8.0,1:16.772,214.484,1,8.0,1
197,27,15,7,11.0,4,9.0,9,9,0.0,67,+37.158,5518032.0,17.0,12.0,1:17.023,213.785,1,9.0,1
198,27,3,3,7.0,13,10.0,10,10,0.0,67,+37.625,5518499.0,34.0,15.0,1:17.380,212.799,1,10.0,1
199,27,4,4,5.0,5,11.0,11,11,0.0,67,+38.600,5519474.0,17.0,13.0,1:17.115,213.53,1,11.0,1
200,27,7,5,14.0,15,12.0,12,12,0.0,67,+39.111,5519985.0,63.0,10.0,1:16.969,213.935,1,12.0,1
201,27,14,9,9.0,10,13.0,13,13,0.0,67,+54.971,5535845.0,18.0,11.0,1:16.994,213.866,1,13.0,1
202,27,6,3,8.0,16,14.0,14,14,0.0,67,+1:00.003,5540877.0,23.0,17.0,1:17.691,211.947,1,14.0,1
203,27,16,10,20.0,19,15.0,15,15,0.0,67,+1:09.488,5550362.0,66.0,18.0,1:17.889,211.408,1,15.0,1
204,27,21,10,21.0,20,16.0,16,16,0.0,67,+1:24.093,5564967.0,67.0,20.0,1:18.208,210.546,1,16.0,1
205,27,18,11,16.0,14,17.0,17,17,0.0,66,,,56.0,16.0,1:17.636,212.097,11,17.0,1
206,27,22,11,17.0,18,,R,18,0.0,50,,,30.0,19.0,1:17.986,211.145,4,,0
207,27,17,9,10.0,8,,R,19,0.0,40,,,20.0,14.0,1:17.206,213.278,5,,0
208,27,10,7,12.0,11,,R,20,0.0,35,,,24.0,7.0,1:16.712,214.652,22,,0
209,28,5,1,23.0,2,1.0,1,1,10.0,70,1:37:27.067,5847067.0,19.0,7.0,1:21.753,192.917,1,1.0,1
210,28,10,7,12.0,5,2.0,2,2,8.0,70,+11.061,5858128.0,42.0,6.0,1:21.671,193.111,1,2.0,1
211,28,8,6,1.0,6,3.0,3,3,6.0,70,+16.856,5863923.0,61.0,1.0,1:21.195,194.243,1,3.0,1
212,28,4,4,5.0,7,4.0,4,4,5.0,70,+21.614,5868681.0,47.0,8.0,1:21.793,192.823,1,4.0,1
213,28,1,1,22.0,1,5.0,5,5,4.0,70,+23.048,5870115.0,15.0,3.0,1:21.493,193.533,1,5.0,1
214,28,12,4,6.0,10,6.0,6,6,3.0,70,+32.298,5879365.0,64.0,4.0,1:21.537,193.428,1,6.0,1
215,28,15,7,11.0,9,7.0,7,7,2.0,70,+36.449,5883516.0,65.0,5.0,1:21.638,193.189,1,7.0,1
216,28,9,2,4.0,4,8.0,8,8,1.0,70,+48.321,5895388.0,70.0,9.0,1:21.941,192.475,1,8.0,1
217,28,17,9,10.0,8,9.0,9,9,0.0,70,+58.834,5905901.0,67.0,10.0,1:22.125,192.043,1,9.0,1
218,28,2,2,3.0,15,10.0,10,10,0.0,70,+1:07.709,5914776.0,67.0,11.0,1:22.183,191.908,1,10.0,1
219,28,14,9,9.0,13,11.0,11,11,0.0,70,+1:10.407,5917474.0,67.0,16.0,1:22.732,190.634,1,11.0,1
220,28,18,11,16.0,12,12.0,12,12,0.0,69,,,63.0,13.0,1:22.397,191.409,11,12.0,1
221,28,6,3,8.0,16,13.0,13,13,0.0,69,,,67.0,18.0,1:23.307,189.319,11,13.0,1
222,28,3,3,7.0,14,14.0,14,14,0.0,69,,,57.0,12.0,1:22.397,191.409,11,14.0,1
223,28,21,10,21.0,18,15.0,15,15,0.0,69,,,68.0,15.0,1:22.641,190.844,11,15.0,1
224,28,22,11,17.0,17,16.0,16,16,0.0,68,,,65.0,14.0,1:22.436,191.319,12,16.0,1
225,28,13,6,2.0,3,17.0,17,17,0.0,67,,,16.0,2.0,1:21.355,193.861,5,17.0,1
226,28,7,5,14.0,19,18.0,18,18,0.0,67,,,29.0,17.0,1:23.220,189.516,13,18.0,1
227,28,16,10,20.0,20,,R,19,0.0,62,,,29.0,19.0,1:23.650,188.542,23,,0
228,28,20,5,15.0,11,,R,20,0.0,22,,,17.0,20.0,1:24.222,187.262,25,,0
229,29,13,6,2.0,1,1.0,1,1,10.0,57,1:35:32.339,5732339.0,36.0,1.0,1:38.708,197.637,1,1.0,1
230,29,1,1,22.0,2,2.0,2,2,8.0,57,+5.611,5737950.0,16.0,2.0,1:38.884,197.285,1,2.0,1
231,29,9,2,4.0,3,3.0,3,3,6.0,57,+37.353,5769692.0,38.0,4.0,1:39.330,196.399,1,3.0,1
232,29,5,1,23.0,5,4.0,4,4,5.0,57,+39.703,5772042.0,19.0,3.0,1:39.112,196.831,1,4.0,1
233,29,15,7,11.0,7,5.0,5,5,4.0,57,+50.684,5783023.0,37.0,12.0,1:39.657,195.755,1,5.0,1
234,29,20,5,15.0,6,6.0,6,6,3.0,57,+52.625,5784964.0,36.0,6.0,1:39.485,196.093,1,6.0,1
235,29,10,7,12.0,13,7.0,7,7,2.0,57,+1:07.990,5800329.0,54.0,8.0,1:39.535,195.995,1,7.0,1
236,29,3,3,7.0,9,8.0,8,8,1.0,57,+1:11.457,5803796.0,35.0,10.0,1:39.577,195.912,1,8.0,1
