driver_id,full_name,code,nationality,dob,first_season,last_season,seasons_active,races_entered,wins,podiums,dnf_count,points_total,best_season_points,points_per_race,win_rate_pct,podium_rate_pct,dnf_rate_pct,avg_grid,avg_finish,avg_qualifying_ms,avg_pit_stop_s
21,Giancarlo Fisichella,FIS,Italian,1973-01-14,2000,2009,10,174,3,14,49,226.0,72.0,1.299,1.7241,8.046,28.1609,11.8,8.54,85663.0,
826,Daniil Kvyat,KVY,Russian,1994-04-26,2014,2020,6,112,0,3,22,202.0,95.0,1.804,0.0,2.6786,19.6429,11.92,10.62,88904.3,25.214
825,Kevin Magnussen,MAG,Danish,1992-10-05,2014,2024,10,186,0,1,31,196.0,56.0,1.054,0.0,0.5376,16.6667,12.93,12.59,87336.2,25.221
57,Mika Häkkinen,,Finnish,1968-09-28,2000,2001,2,34,6,14,10,126.0,89.0,3.706,17.6471,41.1765,29.4118,3.53,3.12,85830.8,
155,Kamui Kobayashi,KOB,Japanese,1986-09-13,2009,2014,5,76,0,1,23,125.0,60.0,1.645,0.0,1.3158,30.2632,14.25,10.85,92789.4,24.468
16,Adrian Sutil,SUT,German,1983-01-11,2007,2014,7,128,0,0,39,124.0,47.0,0.969,0.0,0.0,30.4688,14.8,12.47,90994.1,24.109
814,Paul di Resta,DIR,British,1986-04-16,2011,2017,4,59,0,0,7,121.0,48.0,2.051,0.0,0.0,11.8644,12.12,10.58,91507.5,23.298
5,Heikki Kovalainen,KOV,Finnish,1981-10-19,2007,2013,7,112,1,4,21,105.0,53.0,0.938,0.8929,3.5714,18.75,13.74,11.84,90732.2,24.609
852,Yuki Tsunoda,TSU,Japanese,2000-05-11,2021,2024,4,90,0,0,16,87.0,32.0,0.967,0.0,0.0,17.7778,12.13,12.27,85275.2,24.736
813,Pastor Maldonado,MAL,Venezuelan,1985-03-09,2011,2015,5,96,1,1,29,76.0,45.0,0.792,1.0417,1.0417,30.2083,14.17,12.81,92697.1,24.158
808,Vitaly Petrov,PET,Russian,1984-09-08,2010,2012,3,58,0,1,11,64.0,37.0,1.103,0.0,1.7241,18.9655,14.6,12.91,91671.5,23.694
35,Jacques Villeneuve,VIL,Canadian,1971-04-09,2000,2006,7,100,0,2,33,55.0,17.0,0.55,0.0,2.0,33.0,11.38,8.7,84143.9,
818,Jean-Éric Vergne,VER,French,1990-04-25,2012,2014,3,58,0,0,13,51.0,22.0,0.879,0.0,0.0,22.4138,14.07,11.91,93179.2,24.292
10,Timo Glock,GLO,German,1982-03-18,2004,2012,6,95,0,3,21,51.0,25.0,0.537,0.0,3.1579,22.1053,17.0,13.77,92145.2,23.744
11,Takuma Sato,SAT,Japanese,1977-01-28,2002,2008,7,91,0,1,32,44.0,34.0,0.484,0.0,1.0989,35.1648,14.55,11.58,86237.5,
37,Pedro de la Rosa,DLR,Spanish,1971-02-24,2000,2012,8,91,0,1,40,34.0,19.0,0.374,0.0,1.0989,43.956,15.44,12.45,91371.8,25.248
811,Bruno Senna,SEN,Brazilian,1983-10-15,2010,2012,3,46,0,0,11,33.0,31.0,0.717,0.0,0.0,23.913,16.91,13.89,94321.5,23.939
49,Heinz-Harald Frentzen,,German,1967-05-18,2000,2003,4,61,0,3,28,32.0,13.0,0.525,0.0,4.918,45.9016,10.75,8.58,84038.9,
153,Jaime Alguersuari,ALG,Spanish,1990-03-23,2009,2011,3,46,0,0,10,31.0,26.0,0.674,0.0,0.0,21.7391,15.15,12.08,92286.4,23.862
67,Sébastien Buemi,BUE,Swiss,1988-10-31,2009,2011,3,55,0,0,15,29.0,15.0,0.527,0.0,0.0,27.2727,14.53,11.98,91592.0,24.024
831,Felipe Nasr,NAS,Brazilian,1992-08-21,2015,2016,2,40,0,0,7,29.0,27.0,0.725,0.0,0.0,17.5,15.9,13.09,91583.2,25.64
24,Vitantonio Liuzzi,LIU,Italian,1980-08-06,2005,2011,6,81,0,0,26,26.0,21.0,0.321,0.0,0.0,32.0988,16.56,13.82,89658.4,27.403
838,Stoffel Vandoorne,VAN,Belgian,1992-03-26,2016,2018,3,42,0,0,8,26.0,13.0,0.619,0.0,0.0,19.0476,15.19,12.09,87420.8,25.036
841,Antonio Giovinazzi,GIO,Italian,1993-12-14,2017,2021,4,62,0,0,6,21.0,14.0,0.339,0.0,0.0,9.6774,14.37,13.39,84304.2,25.695
25,Alexander Wurz,WUR,Austrian,1974-02-15,2000,2007,3,34,0,2,9,21.0,13.0,0.618,0.0,5.8824,26.4706,13.97,9.44,87007.6,
44,Olivier Panis,,French,1966-09-02,2001,2004,4,67,0,0,29,20.0,6.0,0.299,0.0,0.0,43.2836,11.33,9.58,83787.0,
12,Nelson Piquet Jr.,PIQ,Brazilian,1985-07-25,2008,2009,2,28,0,1,11,19.0,19.0,0.679,0.0,3.5714,39.2857,13.68,10.47,87065.2,
828,Marcus Ericsson,ERI,Swedish,1990-09-02,2014,2018,5,97,0,0,23,18.0,9.0,0.186,0.0,0.0,23.7113,16.88,13.92,91408.5,25.507
56,Eddie Irvine,,British,1965-11-10,2000,2002,3,50,0,2,25,18.0,8.0,0.36,0.0,4.0,50.0,12.7,8.0,89626.3,
855,Guanyu Zhou,ZHO,Chinese,1999-05-30,2022,2024,3,68,0,0,10,16.0,6.0,0.235,0.0,0.0,14.7059,15.01,13.95,86269.7,25.42
32,Christian Klien,KLI,Austrian,1983-02-07,2004,2010,4,51,0,0,16,14.0,9.0,0.275,0.0,0.0,31.3725,13.16,11.23,85601.8,
43,Cristiano da Matta,,Brazilian,1973-09-19,2003,2004,2,28,0,0,8,13.0,10.0,0.464,0.0,0.0,28.5714,11.43,9.85,81677.9,
854,Mick Schumacher,MSC,German,1999-03-22,2021,2022,2,44,0,0,6,12.0,12.0,0.273,0.0,0.0,13.6364,15.34,15.05,86765.2,26.328
849,Nicholas Latifi,LAT,Canadian,1995-06-29,2020,2022,3,61,0,0,10,9.0,7.0,0.148,0.0,0.0,16.3934,16.67,15.43,86441.7,25.123
6,Kazuki Nakajima,NAK,Japanese,1985-01-11,2007,2009,3,36,0,0,6,9.0,9.0,0.25,0.0,0.0,16.6667,13.81,12.2,88301.6,
835,Jolyon Palmer,PAL,British,1991-01-20,2016,2017,2,37,0,0,11,9.0,8.0,0.243,0.0,0.0,29.7297,16.32,13.27,90067.1,24.945
63,Mika Salo,,Finnish,1966-11-30,2000,2002,2,34,0,0,11,8.0,6.0,0.235,0.0,0.0,32.3529,13.29,8.52,92731.5,
42,Antônio Pizzonia,PIZ,Brazilian,1980-09-11,2003,2005,3,20,0,0,9,8.0,6.0,0.4,0.0,0.0,45.0,12.95,9.91,86821.2,
33,Tiago Monteiro,TMO,Portuguese,1976-07-24,2005,2006,2,37,0,1,8,7.0,7.0,0.189,0.0,2.7027,21.6216,17.68,13.34,86588.3,
836,Pascal Wehrlein,WEH,German,1994-10-18,2016,2017,2,39,0,0,8,6.0,5.0,0.154,0.0,0.0,20.5128,17.38,15.0,90459.3,26.964
7,Sébastien Bourdais,BOU,French,1979-02-28,2008,2009,2,27,0,0,7,6.0,4.0,0.222,0.0,0.0,25.9259,14.81,12.25,87436.8,
50,Jos Verstappen,,Dutch,1972-03-04,2000,2003,3,50,0,0,21,6.0,5.0,0.12,0.0,0.0,42.0,16.76,10.93,85304.9,
821,Esteban Gutiérrez,GUT,Mexican,1991-08-05,2013,2016,3,59,0,0,13,6.0,6.0,0.102,0.0,0.0,22.0339,15.27,13.96,93175.5,24.703
859,Liam Lawson,LAW,New Zealander,2002-02-11,2023,2024,2,11,0,0,0,6.0,4.0,0.545,0.0,0.0,0.0,13.45,12.91,86305.4,27.067
39,Narain Karthikeyan,KAR,Indian,1977-01-14,2005,2012,3,48,0,0,15,5.0,5.0,0.104,0.0,0.0,31.25,19.56,17.18,92400.6,25.66
55,Jean Alesi,,French,1964-06-11,2000,2001,2,34,0,0,13,5.0,5.0,0.147,0.0,0.0,38.2353,15.29,9.38,87679.2,
861,Franco Colapinto,COL,Argentinian ,2003-05-27,2024,2024,1,9,0,0,3,5.0,5.0,0.556,0.0,0.0,33.3333,13.78,11.17,88573.0,24.124
843,Brendon Hartley,HAR,New Zealander,1989-11-10,2017,2018,2,25,0,0,8,4.0,4.0,0.16,0.0,0.0,32.0,15.28,13.35,86901.7,23.994
27,Christijan Albers,ALB,Dutch,1979-04-16,2005,2007,3,46,0,0,18,4.0,4.0,0.087,0.0,0.0,39.1304,18.28,14.0,86953.7,
48,Marc Gené,,Spanish,1974-03-29,2000,2004,3,20,0,0,7,4.0,4.0,0.2,0.0,0.0,35.0,18.65,11.69,86609.0,
41,Ricardo Zonta,ZON,Brazilian,1976-03-23,2000,2005,4,25,0,0,11,3.0,3.0,0.12,0.0,0.0,44.0,14.2,9.36,89165.8,
40,Patrick Friesacher,FRI,Austrian,1980-09-26,2005,2005,1,11,0,0,6,3.0,3.0,0.273,0.0,0.0,54.5455,17.82,14.4,86411.5,
856,Nyck de Vries,DEV,Dutch,1995-02-06,2022,2023,2,11,0,0,1,2.0,2.0,0.182,0.0,0.0,9.0909,14.0,14.8,81712.9,23.215
824,Jules Bianchi,BIA,French,1989-08-03,2013,2014,2,34,0,0,6,2.0,2.0,0.059,0.0,0.0,17.6471,18.82,16.57,96099.3,25.09
858,Logan Sargeant,SAR,American,2000-12-31,2023,2024,2,36,0,0,7,1.0,1.0,0.028,0.0,0.0,19.4444,16.39,15.69,86977.7,25.355
52,Ralph Firman,,Irish,1975-05-20,2003,2003,1,14,0,0,6,1.0,1.0,0.071,0.0,0.0,42.8571,17.0,11.75,83248.4,
51,Justin Wilson,,British,1978-07-31,2003,2003,1,16,0,0,9,1.0,1.0,0.062,0.0,0.0,56.25,17.19,12.57,83475.0,
47,Zsolt Baumgartner,,Hungarian,1981-01-01,2003,2004,2,20,0,0,8,1.0,1.0,0.05,0.0,0.0,40.0,18.75,13.5,88389.2,
845,Sergey Sirotkin,SIR,Russian,1995-08-27,2018,2018,1,21,0,0,3,1.0,1.0,0.048,0.0,0.0,14.2857,16.29,14.83,86498.7,24.707
54,Luciano Burti,,Brazilian,1975-03-05,2000,2001,2,15,0,0,6,0.0,0.0,0.0,0.0,0.0,40.0,17.2,10.22,,
36,Franck Montagny,FMO,French,1978-01-05,2006,2006,1,7,0,0,4,0.0,0.0,0.0,0.0,0.0,57.1429,20.29,16.67,83558.7,
38,Robert Doornbos,DOO,Dutch,1981-09-23,2005,2006,2,11,0,0,2,0.0,0.0,0.0,0.0,0.0,18.1818,17.36,14.11,93501.4,
19,Anthony Davidson,DAV,British,1979-04-18,2002,2008,4,24,0,0,10,0.0,0.0,0.0,0.0,0.0,41.6667,17.17,14.29,87138.3,
53,Nicolas Kiesa,,Danish,1978-03-03,2003,2003,1,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,12.8,85545.6,
45,Giorgio Pantano,,Italian,1979-02-04,2004,2004,1,14,0,0,8,0.0,0.0,0.0,0.0,0.0,57.1429,16.79,14.67,86888.7,
46,Gianmaria Bruni,,Italian,1981-05-30,2004,2004,1,18,0,0,9,0.0,0.0,0.0,0.0,0.0,50.0,18.33,15.89,88747.4,
29,Sakon Yamamoto,YAM,Japanese,1982-07-09,2006,2010,3,21,0,0,7,0.0,0.0,0.0,0.0,0.0,33.3333,21.71,17.43,91920.2,
26,Scott Speed,SPE,American,1983-01-24,2006,2007,2,28,0,0,11,0.0,0.0,0.0,0.0,0.0,39.2857,16.71,12.29,84844.8,
62,Alex Yoong,,Malaysian,1976-07-20,2001,2002,2,16,0,0,10,0.0,0.0,0.0,0.0,0.0,62.5,19.94,12.17,90557.3,
59,Enrique Bernoldi,,Brazilian,1978-10-19,2001,2002,2,29,0,0,20,0.0,0.0,0.0,0.0,0.0,68.9655,17.59,11.44,86206.0,
823,Giedo van der Garde,VDG,Dutch,1985-04-25,2013,2013,1,19,0,0,3,0.0,0.0,0.0,0.0,0.0,15.7895,19.37,17.38,95306.4,24.441
820,Max Chilton,CHI,British,1991-04-21,2013,2014,2,35,0,0,3,0.0,0.0,0.0,0.0,0.0,8.5714,20.09,17.34,96657.9,25.016
819,Charles Pic,PIC,French,1990-02-15,2012,2013,2,39,0,0,9,0.0,0.0,0.0,0.0,0.0,23.0769,20.62,17.3,95574.7,24.749
816,Jérôme d'Ambrosio,DAM,Belgian,1985-12-27,2011,2012,2,20,0,0,3,0.0,0.0,0.0,0.0,0.0,15.0,21.55,17.88,95081.0,24.839
812,Karun Chandhok,CHA,Indian,1984-01-19,2010,2011,2,11,0,0,2,0.0,0.0,0.0,0.0,0.0,18.1818,23.0,17.22,97647.1,25.556
810,Lucas di Grassi,DIG,Brazilian,1984-08-11,2010,2010,1,19,0,0,9,0.0,0.0,0.0,0.0,0.0,47.3684,22.05,17.6,98320.9,
65,Johnny Herbert,,British,1964-06-25,2000,2000,1,17,0,0,8,0.0,0.0,0.0,0.0,0.0,47.0588,14.12,9.78,91369.8,
66,Allan McNish,,British,1969-12-29,2002,2002,1,17,0,0,9,0.0,0.0,0.0,0.0,0.0,52.9412,15.94,10.88,97075.0,
58,Tarso Marques,,Brazilian,1976-01-19,2001,2001,1,14,0,0,8,0.0,0.0,0.0,0.0,0.0,57.1429,20.21,12.67,,
64,Pedro Diniz,,Brazilian,1970-05-22,2000,2000,1,17,0,0,7,0.0,0.0,0.0,0.0,0.0,41.1765,14.59,9.4,91373.2,
60,Gastón Mazzacane,,Argentine,1975-05-08,2000,2001,2,21,0,0,8,0.0,0.0,0.0,0.0,0.0,38.0952,21.24,12.54,93125.5,
834,Alexander Rossi,RSS,American,1991-09-25,2015,2015,1,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,15.4,100620.0,28.322
837,Rio Haryanto,HAR,Indonesian,1993-01-22,2016,2016,1,12,0,0,3,0.0,0.0,0.0,0.0,0.0,25.0,19.83,18.22,89815.2,25.671
829,Will Stevens,STE,British,1991-06-28,2014,2015,2,19,0,0,3,0.0,0.0,0.0,0.0,0.0,15.7895,16.79,16.12,95736.7,26.968
833,Roberto Merhi,MER,Spanish,1991-03-22,2015,2015,1,13,0,0,1,0.0,0.0,0.0,0.0,0.0,7.6923,18.23,15.5,94955.9,25.784
853,Nikita Mazepin,MAZ,Russian,1999-03-02,2021,2021,1,22,0,0,6,0.0,0.0,0.0,0.0,0.0,27.2727,18.5,17.81,86004.6,25.523
